date,price,cash,btc_holdings,position_value,total_value,return,total_score,in_target_zone,peak,drawdown
2021-06-14,40526.63,4.547473508864641e-13,0.3120157070757029,12644.945114845394,12644.945114845394,26.449451148453935,3,True,13711.43128605471,-7.77808055891286
2021-06-15,40161.86,4.547473508864641e-13,0.3120157070757029,12531.13114537539,12531.13114537539,25.3113114537539,3,True,13711.43128605471,-8.608146852471572
2021-06-16,38345.41,4.547473508864641e-13,0.3120157070757029,11964.370214257731,11964.370214257731,19.64370214257731,3,True,13711.43128605471,-12.741638967872287
2021-06-17,38082.3,4.547473508864641e-13,0.3120157070757029,11882.275761569044,11882.275761569044,18.822757615690424,3,True,13711.43128605471,-13.340368968964029
2021-06-18,35830.29,4.547473508864641e-13,0.3120157070757029,11179.613269077488,11179.613269077488,11.796132690774884,3,True,13711.43128605471,-18.465016263854395
2021-06-19,35515.38,4.547473508864641e-13,0.3120157070757029,11081.356402762278,11081.356402762278,10.813564027622778,3,True,13711.43128605471,-19.181621731695987
2021-06-20,35602.26,4.547473508864641e-13,0.3120157070757029,11108.464327393016,11108.464327393016,11.08464327393016,3,True,13711.43128605471,-18.98391863225145
2021-06-21,31652.62,3950.445844039415,0.1872094242454217,5925.6687660591215,9876.114610098535,-1.2388538990146298,3,True,13711.43128605471,-27.97167265722948
2021-06-22,32537.58,3950.445844039415,0.1872094242454217,6091.34161813935,10041.787462178763,0.4178746217876505,3,True,13711.43128605471,-26.763389957751365
2021-06-23,33678.64,3950.445844039415,0.1872094242454217,6304.958803768831,10255.404647808244,2.554046478082455,3,True,13711.43128605471,-25.2054403814242
2021-06-24,34649.84,3950.445844039415,0.1872094242454217,6486.776596595983,10437.222440635398,4.37222440635398,3,True,13711.43128605471,-23.879409648133272
2021-06-25,31593.86,3950.445844039415,0.1872094242454217,5914.668340290461,9865.114184329876,-1.3488581567012443,4,True,13711.43128605471,-28.051900793440534
2021-06-26,32307.35,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,3,True,13711.43128605471,-27.077735155162376
2021-06-27,34713.81,9998.686236434742,0.0,0.0,9998.686236434742,-0.0131376356525834,2,False,13711.43128605471,-27.077735155162376
